	BIN_CENTRE	eE->DDmNmjj	eE->DDmNmjj_sumW2	eE->WW->mNmjj	eE->WW->mNmjj_sumW2
0	8.333333333333334	6.862457600000001	23.546662155898886	1037.19532	537887.0659149513
1	25.0	0.0	0.0	518.59766	268943.53295747563
2	41.66666666666667	3.4312288000000004	11.773331077949443	0.0	0.0
3	58.333333333333336	0.0	0.0	0.0	0.0
4	75.0	13.724915200000002	47.09332431179777	0.0	0.0
5	91.66666666666667	6.862457600000001	23.546662155898886	518.59766	268943.53295747563
6	108.33333333333334	13.724915200000002	47.09332431179777	0.0	0.0
7	125.00000000000001	34.312288	117.73331077949445	518.59766	268943.53295747563
8	141.66666666666669	30.8810592	105.959979701545	1037.19532	537887.0659149513
9	158.33333333333334	20.5873728	70.63998646769666	0.0	0.0
10	175.0	37.7435168	129.5066418574439	518.59766	268943.53295747563
11	191.66666666666669	51.468432	176.5999661692417	0.0	0.0
12	208.33333333333334	44.6059744	153.0533040133428	518.59766	268943.53295747563
13	225.00000000000003	44.6059744	153.0533040133428	0.0	0.0
14	241.66666666666669	48.0372032	164.82663509129225	0.0	0.0
15	258.33333333333337	30.8810592	105.959979701545	1037.19532	537887.0659149513
16	275.0	17.156144	58.866655389747216	518.59766	268943.53295747563
17	291.6666666666667	41.1747456	141.27997293539335	1037.19532	537887.0659149513
18	308.33333333333337	27.4498304	94.18664862359554	0.0	0.0
19	325.0	34.312288	117.73331077949445	518.59766	268943.53295747563
20	341.6666666666667	30.8810592	105.959979701545	518.59766	268943.53295747563
21	358.33333333333337	34.312288	117.73331077949445	518.59766	268943.53295747563
22	375.0	41.1747456	141.27997293539335	518.59766	268943.53295747563
23	391.6666666666667	51.468432	176.5999661692417	518.59766	268943.53295747563
24	408.33333333333337	44.6059744	153.0533040133428	0.0	0.0
25	425.00000000000006	34.312288	117.73331077949445	0.0	0.0
26	441.6666666666667	20.5873728	70.63998646769666	1037.19532	537887.0659149513
27	458.33333333333337	20.5873728	70.63998646769666	518.59766	268943.53295747563
28	475.00000000000006	30.8810592	105.959979701545	0.0	0.0
29	491.6666666666667	24.0186016	82.4133175456461	1555.7929800000002	806830.5988724269
