	BIN_CENTRE	eE->DDmNmjj	eE->DDmNmjj_sumW2	eE->WW->mNmjj	eE->WW->mNmjj_sumW2
0	8.333333333333334	6.862457600000001	23.546662155898886	1555.7929800000002	806830.5988724269
1	25.0	0.0	0.0	518.59766	268943.53295747563
2	41.66666666666667	0.0	0.0	1037.19532	537887.0659149513
3	58.333333333333336	3.4312288000000004	11.773331077949443	1555.7929800000002	806830.5988724269
4	75.0	17.156144	58.866655389747216	1037.19532	537887.0659149513
5	91.66666666666667	10.293686400000002	35.31999323384833	1037.19532	537887.0659149513
6	108.33333333333334	24.0186016	82.4133175456461	518.59766	268943.53295747563
7	125.00000000000001	27.4498304	94.18664862359554	0.0	0.0
8	141.66666666666669	68.624576	235.46662155898895	1037.19532	537887.0659149513
9	158.33333333333334	48.0372032	164.82663509129225	518.59766	268943.53295747563
10	175.0	41.1747456	141.27997293539335	1037.19532	537887.0659149513
11	191.66666666666669	58.3308896	200.1466283251406	518.59766	268943.53295747563
12	208.33333333333334	48.0372032	164.82663509129225	518.59766	268943.53295747563
13	225.00000000000003	44.6059744	153.0533040133428	518.59766	268943.53295747563
14	241.66666666666669	54.8996608	188.37329724719115	518.59766	268943.53295747563
15	258.33333333333337	54.8996608	188.37329724719115	0.0	0.0
16	275.0	20.5873728	70.63998646769666	1037.19532	537887.0659149513
17	291.6666666666667	34.312288	117.73331077949445	0.0	0.0
18	308.33333333333337	51.468432	176.5999661692417	518.59766	268943.53295747563
19	325.0	41.1747456	141.27997293539335	0.0	0.0
20	341.6666666666667	30.8810592	105.959979701545	518.59766	268943.53295747563
21	358.33333333333337	27.4498304	94.18664862359554	0.0	0.0
22	375.0	27.4498304	94.18664862359554	518.59766	268943.53295747563
23	391.6666666666667	20.5873728	70.63998646769666	0.0	0.0
24	408.33333333333337	27.4498304	94.18664862359554	0.0	0.0
25	425.00000000000006	10.293686400000002	35.31999323384833	0.0	0.0
26	441.6666666666667	13.724915200000002	47.09332431179777	518.59766	268943.53295747563
27	458.33333333333337	10.293686400000002	35.31999323384833	0.0	0.0
28	475.00000000000006	6.862457600000001	23.546662155898886	0.0	0.0
29	491.6666666666667	10.293686400000002	35.31999323384833	518.59766	268943.53295747563
