	BIN_CENTRE	eE->WW->mNmjj	eE->WW->mNmjj_sumW2
0	83.33333333333333	0.0	6454766.814283506
1	250.0	2074.4102478027344	0.0
2	416.66666666666663	4148.820495605469	0.0
3	583.3333333333333	1555.8076858520508	0.0
4	750.0	1037.2051239013672	0.0
5	916.6666666666666	1037.2051239013672	0.0
6	1083.3333333333333	2593.012809753418	0.0
7	1250.0	0.0	0.0
8	1416.6666666666665	0.0	0.0
9	1583.3333333333333	0.0	0.0
10	1750.0	0.0	0.0
11	1916.6666666666665	0.0	0.0
12	2083.333333333333	0.0	0.0
13	2250.0	0.0	0.0
14	2416.6666666666665	0.0	0.0
15	2583.333333333333	0.0	0.0
16	2750.0	0.0	0.0
17	2916.6666666666665	0.0	0.0
18	3083.333333333333	0.0	0.0
19	3250.0	0.0	0.0
20	3416.6666666666665	0.0	0.0
21	3583.333333333333	0.0	0.0
22	3750.0	0.0	0.0
23	3916.6666666666665	0.0	0.0
24	4083.333333333333	0.0	0.0
25	4250.0	0.0	0.0
26	4416.666666666666	0.0	0.0
27	4583.333333333333	0.0	0.0
28	4750.0	0.0	0.0
29	4916.666666666666	0.0	0.0
