	BIN_CENTRE	eE->WW->mNmjj	eE->WW->mNmjj_sumW2
0	8.333333333333334	0.0	0.0
1	25.0	0.0	0.0
2	41.66666666666667	0.0	0.0
3	58.333333333333336	0.0	0.0
4	75.0	0.0	0.0
5	91.66666666666667	518.6025619506836	268948.6172618126
6	108.33333333333334	0.0	0.0
7	125.00000000000001	2074.4102478027344	1075794.4690472505
8	141.66666666666669	1037.2051239013672	537897.2345236252
9	158.33333333333334	1037.2051239013672	537897.2345236252
10	175.0	1555.8076858520508	806845.8517854379
11	191.66666666666669	6223.230743408203	3227383.407141751
12	208.33333333333334	4667.423057556152	2420537.5553563135
13	225.00000000000003	8816.243553161621	4572126.493450815
14	241.66666666666669	30078.94859313965	15599019.801185124
15	258.33333333333337	12446.461486816406	6454766.814283506
16	275.0	0.0	0.0
17	291.6666666666667	0.0	0.0
18	308.33333333333337	0.0	0.0
19	325.0	0.0	0.0
20	341.6666666666667	0.0	0.0
21	358.33333333333337	0.0	0.0
22	375.0	0.0	0.0
23	391.6666666666667	0.0	0.0
24	408.33333333333337	0.0	0.0
25	425.00000000000006	0.0	0.0
26	441.6666666666667	0.0	0.0
27	458.33333333333337	0.0	0.0
28	475.00000000000006	0.0	0.0
29	491.6666666666667	0.0	0.0
