CosThetajj	Ejj	Emu	EventWeight	Mmiss	PTjj	PTmiss	PTmu
-0.996256845711	249.560541478	120.301170898	259.30128	0.0279861185115	20.4479159901	45.9935347689	38.647385505
0.987381556928	118.149088977	144.501051737	259.30128	61.3668357939	13.5383444544	13.5506829556	3.17563210418
-0.988940143894	247.734278698	19.0364764677	259.30128	37.7041839243	34.8742508389	24.9492546814	18.6671055436
-0.935899138299	201.882734427	24.148268608	259.30128	205.111817968	63.2015063371	75.2045867391	24.0090255411
-0.696160441795	251.527391864	125.066131557	259.30128	23.1216047877	171.487268273	79.102591336	100.497950668
-0.673211213656	250.077307649	89.3839852887	259.30128	2.20803728158	174.764449372	92.8420313897	84.8327546334
-0.984494246955	252.135608048	91.211446993	259.30128	0.548301222421	41.1406471656	52.4545612247	37.1896348247
-0.699491508646	242.499051562	32.9927646695	259.30128	82.7049823474	163.216905351	140.512935916	32.5443733243
-0.917754679418	254.723981394	180.046419676	259.30128	13.9167741315	96.3129472128	33.3820122622	64.0168862646
-0.994170066537	249.774163591	178.153094584	259.30128	6.21780154758	25.5011377638	37.5071622222	38.6937381351
-0.995904292966	250.147653501	113.778281501	259.30128	0.0712710538816	21.3973630279	35.360192421	45.4828004087
-0.991824460814	249.455392577	178.348792629	259.30128	8.03428450871	30.1408639586	32.9915616617	52.1549095031
-0.415111805063	239.677594143	16.8584112617	259.30128	82.1270026679	205.944680362	201.834469205	8.38397941873
-0.99817892537	247.858610284	32.0950832941	259.30128	29.2764212657	14.1496316199	36.9843759351	25.7132379277
-0.563110379197	249.121819761	183.931958409	259.30128	4.22052776773	195.027726708	66.4518161603	134.03663097
-0.93865134635	249.76624925	196.395053007	259.30128	8.23410770435	81.4952264179	29.0229192134	84.6425404238
-0.90048708955	137.384756508	194.287400072	259.30128	146.235641244	48.7691377549	22.1176173884	69.6887392591
0.0515094345219	247.602734938	117.11311942	259.30128	42.5612476499	233.539541264	122.105197696	113.787143457
-0.945230107913	157.859175401	30.414349208	259.30128	280.831260294	44.5827030689	48.5551788689	30.283648467
-0.932938095844	204.600345196	79.2872854681	259.30128	45.7122182818	67.7304747235	3.67169626494	70.802657241
-0.995122065277	249.950595861	58.0221646754	259.30128	0.6193942173	23.3386530811	51.6159862791	28.6343488347
-0.792606425535	234.717828829	142.097517687	259.30128	83.6965489397	133.267671662	58.0749891102	96.8498001228
-0.885466926809	248.518173227	203.706228303	259.30128	10.4799482024	109.260245328	13.1784783711	121.534473955
-0.93093597015	248.640570036	118.023720065	259.30128	25.9227157174	85.8608151645	83.1843422951	4.17542321168
-0.996625860949	248.352321215	50.3683205407	259.30128	37.2971547434	19.2890098003	14.9951696142	34.1869390192
-0.966447985287	215.767532032	200.623417636	259.30128	76.1161471408	51.3905570035	34.4646238891	41.1551975061
0.873264194085	191.290403196	74.3868309758	259.30128	119.327868832	84.4509979142	27.9982608459	56.5272230725
-0.997724166539	246.56000357	226.848395379	259.30128	7.85131589079	16.1813660114	21.7019992824	16.7999584451
-0.985666405344	249.557959792	142.694357869	259.30128	14.3919688351	39.8619281135	38.9595030635	50.4659215262
-0.611992662478	174.168032834	30.7211932119	259.30128	261.525291887	119.78841478	119.368608489	16.3367023026
-0.911207976158	249.296264332	221.549474929	259.30128	1.58311161034	97.2381592151	16.0432176694	112.611826012
-0.981125653174	249.801364988	170.127546404	259.30128	3.58867565916	45.7954738459	24.5788274448	67.3329346749
-0.99775530006	243.940431046	10.4572959159	259.30128	78.3458827305	15.4069041129	12.0390653531	10.045621873
-0.955823457765	232.050965617	151.83785751	259.30128	82.4900177691	63.9733088443	59.2144450783	6.11046826115
-0.815705829927	249.420783956	209.272958946	259.30128	19.0406679278	135.509131961	28.6088523888	124.559875025
-0.992265895704	248.882431276	60.9575602507	259.30128	7.57676060423	29.1730763197	35.8942834451	39.2805943042
-0.925470132567	244.029716203	208.483729167	259.30128	22.2415624819	87.3061353681	40.1661139753	54.7422114201
-0.952603609474	123.300823283	75.4962439025	259.30128	295.633306222	28.3809023778	54.0959516709	30.8033490733
-0.996866348189	249.682592275	195.229774645	259.30128	13.4043141283	18.6966844919	30.0967023673	38.1549601009
-0.997421355171	235.026387836	133.867595494	259.30128	94.7884115221	15.8488001838	22.1332363117	19.5337344052
-0.983561077372	249.468134159	75.2843091661	259.30128	15.9788741749	42.6190347148	19.9761493014	47.0547168255
-0.811806714184	232.979688966	13.9781756087	259.30128	110.150542854	127.894118066	127.523369108	8.66650811105
-0.926957640047	240.698823903	82.5787734822	259.30128	77.1500116304	85.4731523903	93.0041060493	7.54478331807
-0.234889601644	246.614784946	12.1339894301	259.30128	56.7099663643	226.648007242	224.889993381	3.4153589214
-0.998050440017	249.037166146	117.458087922	259.30128	16.7932257824	14.7016877847	44.1937360485	40.5296580763
-0.998962806563	204.192066571	96.9203024549	259.30128	168.04066134	8.55074373901	35.1943638375	42.3135122672
-0.813964201133	231.057838534	233.362922782	259.30128	27.2374923451	125.651000164	13.7023631974	129.106018852
-0.390370879589	189.055217027	193.008725383	259.30128	101.697193818	157.762303808	27.4561117752	151.226529662
-0.940026133896	216.722768418	46.8171587221	259.30128	165.237271281	68.6487747807	54.4866840428	36.7088281813
-0.858697939608	250.357256395	152.689629182	259.30128	13.7086628038	121.621928602	41.3617743473	97.8970115956
-0.26605905638	123.674193676	138.80617753	259.30128	192.073340289	83.5717228133	35.0856935525	81.74422813
-0.850925162442	207.518463007	43.3367560333	259.30128	185.812061675	101.119802178	111.918163663	13.3010927284
-0.90107276591	249.990816273	30.3801679009	259.30128	1.00876662955	102.646928461	91.3011587778	27.2010799056
-0.779015688079	246.538407008	213.590880191	259.30128	24.6537346354	146.697448725	26.9043210378	134.159275845
-0.986088951992	249.425799135	106.130103941	259.30128	21.2875880264	39.137299569	48.9323262142	40.8443419433
-0.945658030763	238.427992975	37.0600516425	259.30128	100.670009251	72.9875807301	67.3660691522	28.871514966
-0.795340027638	249.700828668	70.1339684077	259.30128	11.3434859196	143.40455227	135.230775663	8.18783068391
-0.878886242553	249.145659648	155.961667102	259.30128	19.8118625745	112.820599048	72.8717589865	41.2776713978
-0.747210232292	250.01428894	153.959801811	259.30128	5.64179017526	157.167023463	82.7516876854	85.07516892
-0.994383065348	249.717920371	52.9848976197	259.30128	3.6448716542	25.0721994028	32.353088798	33.6073442484
-0.994708764653	249.739991348	108.90440446	259.30128	10.7275279587	24.3439536136	29.2726348496	47.8476565597
-0.957888848989	246.75498632	99.3074682627	259.30128	33.9858521994	66.9587245535	36.0928856422	61.9238439198
-0.601824462372	243.470592906	159.249939004	259.30128	56.0453732342	184.643207381	76.1298065912	108.897786013
