CosThetajj	Ejj	Emu	EventWeight	Mmiss	PTjj	PTmiss	PTmu
0.843513230134	87.2976573381	74.6690486655	1.71571245	335.083797382	23.6768223912	44.4656485842	63.0253084811
0.791192093163	167.575248969	111.413392619	1.71571245	216.110721906	92.981897002	39.8406817806	55.2736565444
0.230375846536	92.0411365408	18.617913232	1.71571245	382.483246711	58.7349190239	67.7217241812	13.6331046595
0.0631831963975	123.927479705	43.2207569701	1.71571245	328.289857308	94.1852695825	52.4422976859	41.9648754637
0.344278168198	171.279859784	98.6374761831	1.71571245	219.505437938	142.72682778	47.9347179815	98.5987290506
0.423750330023	158.861329561	42.7948047087	1.71571245	273.791372464	127.680498774	108.166836502	41.2802145963
0.711457989441	144.778996479	45.1313876138	1.71571245	291.10713115	85.113525775	77.8090292753	43.2266109054
0.259389913817	108.110699932	25.0166709775	1.71571245	355.942260235	69.2063882959	79.8288085298	14.3350476901
-0.00105438138773	102.685290421	32.4176535396	1.71571245	361.823761211	63.6940279878	43.8504342385	27.2523185009
0.188617897664	104.321642498	54.8223583517	1.71571245	332.839716017	65.7323579484	53.9991447318	40.2500563466
-0.411761898597	163.827536508	108.687509159	1.71571245	218.300498575	128.781942776	30.8655773408	108.666401753
0.694001207847	138.660366081	43.5115290474	1.71571245	297.024848285	79.9448589655	45.4579095264	34.5120008217
0.113169246577	119.867375692	55.8971879826	1.71571245	320.714655586	88.8595749807	43.6635929642	47.6603756949
0.201195213284	118.273325967	36.2489526095	1.71571245	337.943628779	86.0091027251	70.6851719636	35.8571579943
-0.261132050658	183.348207148	101.720664076	1.71571245	199.548323643	159.16290526	62.4362951807	101.498480493
0.760208542368	153.364789798	61.494760541	1.71571245	271.887411554	82.6268078212	67.8333704374	43.0121716697
-0.0607593654034	105.858681875	97.5713018286	1.71571245	296.312024787	86.7894696682	11.9845769639	97.5457856281
-0.569914884384	109.483633997	25.0019118413	1.71571245	355.576357381	61.3181892488	80.1453804286	19.7959221636
-0.955694670742	159.522598361	42.7626096198	1.71571245	265.015121374	40.5872421191	30.9400147531	42.7614208128
0.663497696645	108.507956296	45.4038654651	1.71571245	335.428727909	64.4621626081	62.126221057	45.3882607939
0.00700138808377	155.616641969	84.0006548209	1.71571245	243.113962543	131.899108614	79.2319727259	68.7677470829
0.43825303491	110.216806005	49.0741717296	1.71571245	338.510606561	67.7509114031	37.666109856	42.5761180051
0.74864379972	100.087756635	35.6674658791	1.71571245	362.980891365	39.1707277854	28.5332529223	10.8206582601
0.412024527372	165.166591155	72.5729062782	1.71571245	246.07263417	129.181181072	88.1794780646	62.3576992089
0.0170756399133	151.123746264	13.8964165603	1.71571245	306.998621291	128.398143856	133.187814553	5.44380154344
-0.542132228867	134.040597901	37.8565265868	1.71571245	313.016191274	89.6678722055	68.7819962613	35.7526448652
0.397691955881	140.434813463	84.8473690204	1.71571245	271.540741363	104.710305181	23.5214632059	84.1309585798
-0.77297924579	111.649960484	71.8806238974	1.71571245	305.792340002	51.5317307301	18.4669738033	69.936175306
0.157128261955	180.134830351	30.6955060761	1.71571245	239.308890579	161.092852934	159.660229162	30.4742446388
-0.0649969030435	116.532916239	115.85334391	1.71571245	261.897430301	79.9022084989	30.0227054167	108.394143969
-0.108584887528	137.904171649	135.038298641	1.71571245	225.446988961	108.959263189	26.6032723169	134.840015311
