Cut	Lower	Upper	Signal (SDM)	Total BG (SDM)	S/B (SDM)	Z (SDM)	Signal (FDM)	Total BG (FDM)	S/B (FDM)	Z (FDM)	BG1	BG2+BG3 (SDM)	BG2+BG3 (FDM)	BG4 
NoCuts	0	0	1351.5922597	293953.185708	0.00459798473162	2.48719856853	7894.18488937	293935.581807	0.0268568536032	14.3689905698	292091.961823	19.9803711513	2.37647023432	1841.24351411
Mmiss	170	500	1351.5922597	41034.1543306	0.0329382262592	6.56501582566	7894.18488937	41016.66759	0.192462853596	35.6947773722	40526.8714949	19.8142456165	2.32750500719	487.468590061
Ejj	0	200	1351.30109376	37501.1516178	0.0360335892491	6.85555955614	7890.54366018	37484.1655328	0.210503383176	37.0424752943	37178.1122293	19.1799481196	2.19386307147	303.859440443
CosThetajj	-0.9	0.9	1344.60427731	19272.1475209	0.0697693018309	9.36449510934	7615.63085615	19258.059684	0.395451617717	46.4560444877	19018.1005286	15.8483760289	1.76053921929	238.198616191
CosThetamu	-0.9	0.9	1307.91736979	14778.6208362	0.0885006377988	10.3121449771	7262.43162447	14765.5285755	0.491850433077	48.9322194733	14560.4642961	14.7066405345	1.61437985709	203.449899517
