Cut	Lower	Upper	Signal (SDM)	Total BG (SDM)	S/B (SDM)	Z (SDM)	Signal (FDM)	Total BG (FDM)	S/B (FDM)	Z (FDM)	BG1	BG2+BG3 (SDM)	BG2+BG3 (FDM)	BG4 
NoCuts	0	0	2185.28719447	293945.765405	0.00743432106075	4.01574886859	18479.2685317	293934.390549	0.0628686847335	33.0612880719	292091.961823	12.5600679496	1.18521151813	1841.24351411
Mmiss	170	500	2182.39762219	41026.8559851	0.053194366709	10.4989410587	18452.499107	41015.5145229	0.449890713834	75.6682128528	40526.8714949	12.515900123	1.17443793255	487.468590061
Ejj	0	200	2182.01234589	37494.4598072	0.0581955936185	10.9544525527	18444.1336617	37483.1394327	0.492064804093	77.9913501265	37178.1122293	12.4881374892	1.16776299365	303.859440443
CosThetajj	-0.9	0.9	2131.73378826	19266.9347575	0.110642082671	14.5726855232	16508.3696336	19257.2452296	0.857254993471	87.2913754374	19018.1005286	10.6356126474	0.946084759901	238.198616191
CosThetamu	-0.9	0.9	2027.13127181	14773.5011379	0.137214005867	15.6393629457	15422.5348416	14764.7651918	1.04454995669	88.7653815974	14560.4642961	9.58694224991	0.850996156728	203.449899517
